Electrode_1,Electrode_2,Electrode_3,label
2.63E+01,2.63E+01,-1.03E+01,0
7.04E+01,7.04E+01,-4.25E+01,0
7.91E+01,7.91E+01,4.56E+00,0
-4.76E+01,-4.76E+01,-1.33E+00,0
-1.19E+02,-1.19E+02,2.71E+02,-1
-5.03E+01,-5.03E+01,7.98E+01,-1
-1.77E+02,-1.77E+02,3.27E+02,-1
9.18E+01,9.18E+01,-1.11E+02,-1
3.38E+01,3.38E+01,1.39E+02,1
-3.72E+00,-3.72E+00,-8.75E+00,0
7.51E+01,7.51E+01,-1.64E+01,0
-1.87E+01,-1.87E+01,2.53E+01,0
-7.76E+01,-7.76E+01,1.66E+02,-1
9.21E+00,9.21E+00,-2.81E+00,0
-5.60E+01,-5.60E+01,5.62E+01,1
-2.33E+02,-2.33E+02,5.71E+02,1
-8.12E+01,-8.12E+01,1.88E+00,1
2.50E+01,2.50E+01,-1.59E+01,0
1.52E+01,1.52E+01,1.88E+01,1
-6.26E+01,-6.26E+01,9.46E+01,-1
-5.66E+01,-5.66E+01,3.73E+01,1
-3.65E+02,-3.65E+02,7.99E+02,-1
-2.49E+01,-2.49E+01,1.57E+01,1
3.41E+01,3.41E+01,1.67E+01,1
-6.41E+01,-6.41E+01,1.04E+02,-1
5.45E+00,5.45E+00,-1.92E+00,1
3.60E+01,3.60E+01,-1.64E+01,-1
-2.90E+01,-2.90E+01,1.12E+02,1
-3.08E+01,-3.08E+01,2.77E+01,1
1.61E+01,1.61E+01,-7.54E-02,0
